Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Zack Moss,2TM,25,RB,11,1,60,268,0,9,43,4.5,24.4,1
Geno Smith*,SEA,32,QB,15,15,59,297,1,20,24,5.0,19.8,7
Jaylen Warren,PIT,24,RB,14,0,59,267,1,15,21,4.5,19.1,1
Deon Jackson,IND,23,RB,14,2,57,191,1,11,17,3.4,13.6,1
Rashaad Penny,SEA,26,RB,5,5,57,346,2,15,41,6.1,69.2,1
Trevor Lawrence,JAX,23,QB,15,15,56,290,5,25,24,5.2,19.3,10
Alexander Mattison,MIN,24,RB,15,0,56,191,3,13,15,3.4,12.7,0
Joshua Kelley,LAC,25,RB,11,1,55,224,2,12,22,4.1,20.4,0
Patrick Mahomes*,KAN,27,QB,15,15,54,321,4,23,20,5.9,21.4,5
Chase Edmonds,2TM,26,RB,11,2,52,166,2,7,28,3.2,15.1,0
Justin Herbert,LAC,24,QB,15,15,51,146,0,16,23,2.9,9.7,7
Jacoby Brissett,CLE,30,QB,14,11,48,241,2,27,22,5.0,17.2,6
